TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Clausocalanus paululus f,2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus brevipes f,2008-09-29 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus ingens f,2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus pergens f,2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus jobei f (>1.2mm),2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus parapergens f,2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus minor f,2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus furcatus f,2008-09-29 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus mastigophorus f,2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus laticeps f,2008-09-29 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus farrani f (<1.00mm),2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),2009-10-12 00:00:00,Clausocalanus spp. f,Internal training,Cant separate the two species routinely so this is used when sizes overlap
Clausocalanus brevipes,2008-09-29 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Clausocalanus lividus f,2009-10-12 00:00:00,Clausocalanus spp. f,Internal training Frost & Fleminger,
Acrocalanus spp. j,2008-09-29 00:00:00,Calanoid j,,Not counted routinely; normally counted as calanoid j
Ctenocalanus spp. j,2008-09-29 00:00:00,Calanoid j,,Not counted routinely; normally counted as calanoid j
Urocorycaeus longistylis f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus giesbrechti f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Urocorycaeus furcifer m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula carinata f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus dahli m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus spp. m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus spp.,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula spp. f,2008-09-29 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula spp. m,2008-09-29 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,Farranula males not routinely speciated
Corycaeidae j,2008-09-29 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus spp. f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus spp. f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Urocorycaeus longistylis m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus speciosus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus catus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus speciosus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Urocorycaeus lautus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus andrewsi m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus latus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus tenuis f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus spp. m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus anglicus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus limbatus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus spp. m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula spp.,2008-09-29 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus spp. f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula spp. j,2008-09-29 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula gracilis f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus erythraeus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus latus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus agilis f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula curta f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus typicus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus clausi f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus clausi m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus limbatus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus spp. f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Urocorycaeus furcifer f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus erythraeus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula gibbula f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus agilis m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula concinna f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus dahli f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus flaccus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus aucklandicus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus aucklandicus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus pacificus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus anglicus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Urocorycaeus lautus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus pumilus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus spp. m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus lubbocki f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus vitreus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus asiaticus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus catus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus subtilis f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus typicus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus andrewsi f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus subtilis m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus ovalis m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus pacificus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus pumilus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus crassiusculus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus crassiusculus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus ovalis f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus asiaticus m,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula rostrata f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
Monocorycaeus robustus f,2010-01-12 00:00:00,Corycaeus spp.,Internal training Dahl & Tanaka,
